Título,Semilla,Estado,Frecuencia,Tamaño,Palabras_clave,Materia
"CEIP Francisco Ayala (Ogíjares, Granada)",http://ceipfranciscoayala.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Francisco Ayala (Castril, Granada)",http://ceipfranciscoayalafatima.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Fuente Nueva (San Pedro de Alcántara, Málaga)",http://ceipfuentenueva.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Antonio Garvayo Dinelli (Motril, Granada)",http://ceipgarvayodinelli.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Genil (Santaella, Córdoba)",http://ceipgenillamontiela.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"CEIP Francisco Giner de los Ríos (Mairena del Aljarafe, Sevilla)",http://ceipginer.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Ntra. Sra. de Guadalupe (Los Barrios, Cádiz)",http://ceipguadalupepalmones.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Doctor Guirao Gea (Veléz-Rubio, Almería)",http://ceipguiraogea.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"CEIP Guzmán el Bueno (Gaucín, Málaga)",http://ceip-guzmanelbueno.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Huerta de la Princesa (Dos Hermanas, Sevilla)",http://ceiphdlp.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Hernán Cortés (Castilleja de la Cuesta, Sevilla)",http://ceiphernancortes.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Hurtado de Mendoza (Cogollos Vega, Granada)",http://ceiphurtadomendoza.blogspot.com/?m=0,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
CEIP Inés Relaño (Almería),http://ceipinesrelanoalmeria.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"CEIP Isdabe del Mar (Cancelada, Málaga)",http://ceip-isdabe.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
CEIP Jacarandá (Sevilla),http://ceipjacarandasevillaeste.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Jaén (Linares, Jaén)",http://ceipjaen.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Jardín Botánico (Mijas, Málaga)",http://ceipjardinbotanico.blogspot.com,Activa,Semestral,Mediano,Educación / Centros docentes / Málaga,Educación
"CEIP Maestro Joaquín Herrera Álvarez (Nerja, Málaga)",http://ceipjoaquinherrera.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Joaquín Tena Sicilia (Abla, Almería)",http://ceipjoaquintenasicilia.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
CEIP Josefina Baro Soler (Almería),http://ceipjosefinabarosoler.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
CEIP José Hurtado (Granada),http://ceipjosehurtado.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP José Yanguas Messía (Escañuela, Jaén)",http://ceipjoseyanguasmessia.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
CEIP Juan Ramón Jiménez (Huelva),http://ceipjrjhuelva.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP Juan Carlos I (Porcuna, Jaén)",http://ceipjuancarlosprimero.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Juan Carlos I (Torredelcampo, Jaén)",http://ceipjuancarlostorredelcampo.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
CEIP Juan de Mairena (Sevilla),http://ceipjuandemairena.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
CEIP Juan Sebastián Elcano (Sevilla),http://ceipjuansebastianelcano.es,Activa,Semestral,Mediano,Educación / Centros docentes / Sevilla,Educación
"CEIP Juventud (Jerez de la Frontera, Cádiz)",http://ceipjuventud1.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP La Atunara (La Línea de la Concepción, Cádiz)",http://ceiplaatunara.blogspot.com,Inactiva,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP La Jarilla (Huércal de Almería, Almería)",http://ceiplajarilla.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
CEIP Nuestra Señora de la Paz (Sevilla),http://ceiplapazsevilla.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP La Rábida (El Campillo, Huelva)",http://ceiplarabida.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP La Ardila (San Fernando, Cádiz)",http://ceiplardila.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Las Maravillas (Maro, Málaga)",http://ceiplasmaravillasmaro.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Las Mimbres (Maracena, Granada)",http://ceiplasmimbresmaracena.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP La Unión (La Rinconada, Sevilla)",http://ceiplaunion.blogspot.com,Activa,Semestral,Mediano,Educación / Centros docentes / Sevilla,Educación
CEIP Lope de Vega (Almería),http://ceiplopevegaalmeria.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"CEIP Los Alcalá Galiano (Doña Mencía, Córdoba)",http://ceiplosalcalagaliano.blogspot.com,Activa,Semestral,Mediano,Educación / Centros docentes / Córdoba,Educación
"CEIP Los Cercadillos (Alcalá de Guadaíra, Sevilla)",http://ceiploscercadillos.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Los Manantiales (Alhaurín de la Torre, Málaga)",http://ceiplosmanantiales.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
CEIP Los Millares (Almería),http://ceiplosmillares.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"CEIP Los Mochos (Almodóvar del Río, Córdoba)",http://ceiplosmochos.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
CEIP Luis Buñuel (Málaga),http://ceipluisbunuelmalaga.blogspot.com,Activa,Semestral,Mediano,Educación / Centros docentes / Málaga,Educación
"CEIP Maestro Carlos Soler (Cárcheles, Jaén)",http://ceipmaestrocarlossoler.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Maestro José Arenas Pulido (Alcalá del Valle, Cádiz)",http://ceipmaestrojosearenaspulido.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Manuel de Falla (San Fernando, Cádiz)",http://ceipmanueldefalla.blogspot.com,Activa,Semestral,Mediano,Educación / Centros docentes / Cádiz,Educación
"CEIP Manuel Siurot (Chucena, Huelva)",http://ceipmanuelsiurotdechucena.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP María Espinosa (Estepona, Málaga)",http://ceipmaria-espinosa.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Marqués de Iznate (Iznate, Málaga)",http://ceipmarquesdeiznate.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP María del Mar Romera (La Cala del Moral, Málaga)",http://ceipmarromera.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Martín Peinado (Cazalilla, Jaén)",http://ceipmartinpeinado.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Maruja Mallo (Alhaurín de la Torre, Málaga)",http://ceipmarujamallo.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Menesteo (El Puerto de Santa María, Cádiz)",http://ceipmenesteo.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Miguel Hernández (Castillo de Locubín, Jaén)",http://ceipmh.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Miguel de Cervantes (Lopera, Jaén)",http://ceipmigueldecervantes.com,Inactiva,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Miguel de Cervantes (Fuengirola, Málaga)",http://ceipmigueldecervantesfuengirola.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Ntra. Sra. de las Montañas (Villamartín, Cádiz)",http://ceipmontanas.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Murtas-Turón (Murtas, Granada)",http://ceipmurtasturon.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Naranjo Moreno (San Bartolomé de la Torre, Huelva)",http://ceipnaranjomoreno.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
CEIP Elena Martín Vivaldi (Granada),http://ceipnuevo.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Nuestra Señora de los Dolores (Pozo Alcón, Jaén)",http://ceipozoalcon.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Pablo Picasso (La Línea de la Concepción, Cádiz)",http://ceippablopicassolalinea.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
